ISIN,Date,Price,Model
AT0000785555,2023-10-02,16.59,prod_LGBMRegressor
AT0000785555,2023-10-03,16.56,prod_LGBMRegressor
AT0000785555,2023-10-04,16.63,prod_LGBMRegressor
AT0000785555,2023-10-05,16.59,prod_LGBMRegressor
AT0000785555,2023-10-06,16.59,prod_LGBMRegressor
AT0000831706,2023-09-25,23.8,prod_LGBMRegressor
AT0000831706,2023-09-26,23.78,prod_LGBMRegressor
AT0000831706,2023-09-27,23.73,prod_LGBMRegressor
AT0000831706,2023-09-28,23.7,prod_LGBMRegressor
AT0000831706,2023-09-29,23.69,prod_LGBMRegressor
AT0000831706,2023-10-02,23.74,prod_LGBMRegressor
AT0000831706,2023-10-03,23.79,prod_LGBMRegressor
AT0000831706,2023-10-04,23.85,prod_LGBMRegressor
AT0000831706,2023-10-05,23.92,prod_LGBMRegressor
AT0000831706,2023-10-06,24.03,prod_LGBMRegressor
AT0000644505,2023-09-25,38.47,prod_LGBMRegressor
AT0000644505,2023-09-26,38.16,prod_LGBMRegressor
AT0000644505,2023-09-27,38.3,prod_LGBMRegressor
AT0000644505,2023-09-28,38.38,prod_LGBMRegressor
AT0000644505,2023-09-29,38.3,prod_LGBMRegressor
AT0000644505,2023-10-02,38.52,prod_LGBMRegressor
AT0000644505,2023-10-03,38.37,prod_LGBMRegressor
AT0000644505,2023-10-04,38.21,prod_LGBMRegressor
AT0000644505,2023-10-05,38.08,prod_LGBMRegressor
AT0000644505,2023-10-06,38.12,prod_LGBMRegressor
AT0000758305,2023-09-25,22.62,prod_LGBMRegressor
AT0000758305,2023-09-26,22.57,prod_LGBMRegressor
AT0000758305,2023-09-27,22.49,prod_LGBMRegressor
AT0000758305,2023-09-28,22.41,prod_LGBMRegressor
AT0000758305,2023-09-29,22.47,prod_LGBMRegressor
AT0000758305,2023-10-02,22.58,prod_LGBMRegressor
AT0000758305,2023-10-03,22.64,prod_LGBMRegressor
AT0000758305,2023-10-04,22.85,prod_LGBMRegressor
AT0000758305,2023-10-05,22.93,prod_LGBMRegressor
AT0000758305,2023-10-06,22.95,prod_LGBMRegressor
AT0000938204,2023-09-25,128.09,prod_LGBMRegressor
AT0000938204,2023-09-26,128.18,prod_LGBMRegressor
AT0000938204,2023-09-27,128.2,prod_LGBMRegressor
AT0000938204,2023-09-28,128.35,prod_LGBMRegressor
AT0000938204,2023-09-29,128.61,prod_LGBMRegressor
AT0000938204,2023-10-02,128.54,prod_LGBMRegressor
AT0000938204,2023-10-03,129.27,prod_LGBMRegressor
AT0000938204,2023-10-04,129.01,prod_LGBMRegressor
AT0000938204,2023-10-05,129.11,prod_LGBMRegressor
AT0000938204,2023-10-06,129.22,prod_LGBMRegressor
AT0000908504,2023-09-25,26.0,prod_LGBMRegressor
AT0000908504,2023-09-26,26.01,prod_LGBMRegressor
AT0000908504,2023-09-27,26.03,prod_LGBMRegressor
AT0000908504,2023-09-28,26.07,prod_LGBMRegressor
AT0000908504,2023-09-29,26.05,prod_LGBMRegressor
AT0000908504,2023-10-02,26.09,prod_LGBMRegressor
AT0000908504,2023-10-03,26.22,prod_LGBMRegressor
AT0000908504,2023-10-04,26.36,prod_LGBMRegressor
AT0000908504,2023-10-05,26.47,prod_LGBMRegressor
AT0000908504,2023-10-06,26.56,prod_LGBMRegressor
AT0000A21KS2,2023-09-25,18.2,prod_LGBMRegressor
AT0000A21KS2,2023-09-26,18.2,prod_LGBMRegressor
AT0000A21KS2,2023-09-27,18.23,prod_LGBMRegressor
AT0000A21KS2,2023-09-28,18.29,prod_LGBMRegressor
AT0000A21KS2,2023-09-29,18.35,prod_LGBMRegressor
AT0000A21KS2,2023-10-02,18.39,prod_LGBMRegressor
AT0000A21KS2,2023-10-03,18.45,prod_LGBMRegressor
AT0000A21KS2,2023-10-04,18.49,prod_LGBMRegressor
AT0000A21KS2,2023-10-05,18.53,prod_LGBMRegressor
AT0000A21KS2,2023-10-06,18.57,prod_LGBMRegressor
AT0000641352,2023-09-25,30.87,prod_LGBMRegressor
